_id,container_id,receptacle_model_id,address,zip,neighborhood
315093,423,74,1700 Penn Avenue,15222,Strip District
315094,424,74,243 Grandview Avenue,15211,Mount Washington
315095,425,74,1809 Penn Avenue,15222,Strip District
315096,426,74,North Shore Drive,15212,North Shore
315097,427,74,1907 Penn Avenue,15222,Strip District
315098,428,74,2125 Penn Avenue,15222,Strip District
315099,429,74,3272 Surban Street,15204,Sheraden
315100,430,74,2031 Penn Avenue,15222,Strip District
315101,431,74,229 Grandview Avenue,15211,Mount Washington
315102,432,74,950 Ridge Avenue,15233,Allegheny West
315103,433,74,792 West General Robinson Street,15212,North Shore
315104,434,74,525 North Shore Drive,15212,North Shore
315105,435,74,714 Culloden Way,15232,Shadyside
315106,436,74,4181 Centre Ave,15213,Upper Hill
315107,438,74,2330 Penn Avenue,15222,Strip District
315108,439,74,3138 Dobson St,15219,Polish Hill
315109,440,74,1720 Centre Ave,15219,Crawford-Roberts
315110,441,74,2603 Shady Avenue,15217,Squirrel Hill South
315111,443,74,1711 Liberty Avenue,15222,Strip District
315112,445,74,4201 Murray Ave,15217,Greenfield
315113,446,74,355 Allegheny Avenue,15212,North Shore
315114,447,74, North Shore Drive,15212,Chateau
315115,448,74,574 West General Robinson Street,15212,North Shore
315116,449,74,2220 Penn Avenue,15222,Strip District
315117,450,74,1630 Penn Avenue,15222,Strip District
315118,451,74,1901 Centre Ave,15219,Crawford-Roberts
315119,452,74,470 30th Street,15219,Polish Hill
315120,453,74,100 Federal St,15212,North Shore
315121,454,74,Chuck Noll Way,15212,North Shore
315122,455,74,Chuck Noll Way,15212,North Shore
315123,456,74,3223 Brereton Street,15219,Polish Hill
315124,457,74,5120 Stanton Avenue,15201,Central Lawrenceville
315125,458,74,12 Federal St,15212,North Shore
315126,459,74,12 Federal St,15212,North Shore
315127,460,74,2121 Smallman Street,15222,Strip District
315128,461,74,644 West General Robinson Street,15212,North Shore
315129,462,74,1435 Grandview Avenue,15211,Duquesne Heights
315130,463,74,1801 Centre Ave,15219,Crawford-Roberts
315131,464,74,355 Allegheny Ave,15212,North Shore
315132,465,74,1603 Penn Avenue,15222,Strip District
315133,466,74,100 Mazeroski Way,15212,North Shore
315134,467,74,3119 Brereton Street,15219,Polish Hill
315135,468,74,Liberty Avenue,15222,Strip District
315136,469,74,3001 Brereton Street,15219,Polish Hill
315137,470,74,355 Allegheny Ave,15212,North Shore
315138,471,74,325 Grandview Avenue,15211,Mount Washington
315139,472,74,355 Allegheny Ave,15212,North Shore
315140,473,74,574 West General Robinson Street,15212,North Shore
315141,474,74,3103 Penn Avenue,15201,Strip District
315142,475,74,3237 Dobson Street,15219,Polish Hill
315143,476,74,1901 Centre Ave,15219,Crawford-Roberts
315144,477,74,419 North Shore Drive,15212,North Shore
315145,478,74,265 Devilliers Street,15219,Bedford Dwellings
315146,479,74,3279 Bigelow Boulevard,15219,Polish Hill
315147,480,74,2000 Brownsville Road,15210,Carrick
315148,481,74,247 North Shore Drive,15212,North Shore
315149,482,74,355 Allegheny Ave,15212,Chateau
315150,483,74,353 North Shore Drive,15212,North Shore
315151,484,74,5023 Bayard Street,15213,Shadyside
315152,485,74,2020 Smallman Street,15222,Strip District
315153,486,74,North Shore Drive,15212,North Shore
315154,487,74,1908 Smallman Street,15222,Strip District
315155,488,74,3001 Brereton Street,15219,Polish Hill
315156,489,74,684 West General Robinson Street,15212,North Shore
315157,490,74,2801 Penn Avenue,15222,Strip District
315158,491,74,275 North Shore Drive,15212,North Shore
315159,492,74,2329 Penn Avenue,15222,Strip District
315160,493,74,100 Mazeroski Way,15212,North Shore
315161,494,74,128 North Craig Street,15213,North Oakland
315162,495,74,3880 Perrysville Ave,15214,Perry North
315163,496,74, North Shore Drive,15212,Chateau
315164,497,74,2801 Liberty Avenue,15222,Polish Hill
315165,499,74,1012 Greenfield Ave,15217,Greenfield
315166,500,74,100 Mazeroski Way,15212,North Shore
315167,501,74,3616 Fifth Avenue,15213,Central Oakland
315168,503,74,684 West General Robinson Street,15212,North Shore
315169,504,74,2431 Wylie Avenue,15219,Middle Hill
315170,505,74,3300 Liberty Avenue,15201,Lower Lawrenceville
315171,506,74,106 East General Robinson Street,15212,North Shore
315172,507,74,2115 Penn Avenue,15222,Strip District
315173,508,74,1725 Penn Avenue,15222,Strip District
315174,509,74,3060 Brereton Street,15219,Polish Hill
315175,510,74,West General Robinson Street,15212,North Shore
315176,511,74,2904 Penn Avenue,15201,Strip District
315177,512,74,1817 Brownsville Rd,15210,Carrick
315178,513,74,3602 Forbes Ave,15213,Central Oakland
315179,514,74,355 Allegheny Ave,15212,North Shore
315180,515,74,Tony Dorsett Drive,15212,North Shore
315181,516,74,935 Herron Avenue,15219,Polish Hill
315182,517,74,100 Art Rooney Avenue,15212,North Shore
315183,518,74,West General Robinson Street,15212,North Shore
315184,519,74,3533 Forbes Ave,15213,Central Oakland
315185,520,74,2120 Penn Avenue,15222,Strip District
315186,521,74,1811 Brownsville Rd,15210,Carrick
315187,522,74,1916 Smallman Street,15222,Strip District
315188,525,74,3530 Forbes Ave,15213,Central Oakland
315189,531,74,905 Watson Street,15219,Bluff
315190,532,74,3101 Brereton Street,15219,Polish Hill
315191,533,74,2505 Penn Avenue,15222,Strip District
315192,534,74,220 22nd Street,15222,Strip District
315193,535,74,2205 Penn Avenue,15222,Strip District
315194,536,74,201 Grandview Avenue,15211,Mount Washington
315195,537,74,1728 Smallman Street,15222,Strip District
315196,538,74,3000 Penn Avenue,15201,Strip District
315197,540,74,2315 Penn Avenue,15222,Strip District
315198,541,74,2301 Smallman Street,15222,Strip District
315199,542,74,3888 East Street,15214,Perry North
315200,543,74,415 South Craig Street,15213,North Oakland
315201,544,74,1100 Allegheny Ave,15233,Allegheny West
315202,546,74,2400 Smallman Street,15222,Strip District
315203,547,74,2020 Smallman Street,15222,Strip District
315204,548,74, Mazeroski Statue,15212,North Shore
315205,549,74,100 Federal St,15212,North Shore
315206,551,74,Tony Dorsett Drive,15212,North Shore
315207,552,74,2301 Smallman Street,15222,Strip District
315208,553,74,2603 Shady Avenue,15217,Squirrel Hill South
315209,554,74,1226 Herron Avenue,15219,Polish Hill
315210,555,74,Tony Dorsett Drive,15212,North Shore
315211,556,74,115 Grandview Avenue,15211,Mount Washington
315212,557,74,2608 Penn Avenue,15222,Strip District
315213,558,74,2050 Liberty Avenue,15222,Strip District
315214,559,74,547 Roberts Street,15219,Crawford-Roberts
315215,560,74,419 North Shore Drive,15212,North Shore
315216,561,74,2621 Centre Ave,15219,Middle Hill
315217,562,74,1801 Jancey Street,15206,Morningside
315218,563,74,1668 Perrysville Ave,15212,Central Northside
315219,564,74,684 West General Robinson Street,15212,North Shore
315220,565,74,2026 Penn Avenue,15222,Strip District
315221,567,74,355 Allegheny Ave,15212,Chateau
315222,569,74,792 West General Robinson Street,15212,North Shore
315223,570,74,525 North Shore Drive,15212,North Shore
315224,571,74,1736 Penn Avenue,15222,Strip District
315225,572,74,20th Street,15222,Strip District
315226,573,74,West General Robinson Street,15212,North Shore
315227,574,74,1711 Liberty Avenue,15222,Strip District
315228,575,74,393 North Shore Drive,15212,North Shore
315229,576,74,792 West General Robinson Street,15212,North Shore
315230,578,74,353 North Shore Drive,15212,North Shore
315231,579,74,4215 Fifth Avenue,15213,North Oakland
315232,580,74,1828 Brownsville Rd,15210,Carrick
315233,581,74,790-792 West General Robinson Street,15212,North Shore
315234,582,74,1532 Brownsville Road,15210,Carrick
315235,584,74,3501 Boulevard of the Allies,15213,South Oakland
315236,585,74,3218 Camp Street,15219,Upper Hill
315237,586,74,2520 East Carson Street,15203,South Side Flats
315238,587,74,1 Bailey Avenue,15211,Mount Washington
315239,588,74,3145 Banksville Road,15216,Banksville
